Vehicle_ID,Make_and_Model,Year_of_Manufacture,Usage_Hours,Load_Capacity,Actual_Load,Last_Maintenance_Date,Maintenance_Cost,Engine_Temperature,Tire_Pressure,Fuel_Consumption,Battery_Status,Vibration_Levels,Oil_Quality,Failure_History,Anomalies_Detected,Predictive_Score,Maintenance_Required,Delivery_Times,Downtime_Maintenance,Impact_on_Efficiency,Vehicle_Type_Van,Route_Info_rural,Route_Info_urban,Maintenance_Type_oil change,Maintenance_Type_tire rotation,Brake_Condition_good,Brake_Condition_other,Brake_Condition_poor,Weather_Conditions_other,Weather_Conditions_rainy,Weather_Conditions_snowy,Weather_Conditions_windy,Road_Conditions_other,Road_Conditions_rural,Road_Conditions_urban,Make_ford,Make_tesla,Make_volvo,Model_fh,Model_semi,Model_silverado,Service_Year,Service_Month,Service_DayOfWeek,Days_Since_Last_Service,Recent_Service_90d,Load_Utilization
17,ford f150,0.4117647058823479,0.020268821048116108,0.10957538464165083,0.10853086566419684,2024-04-30,0.06762845967431921,0.0,0.0,0.0,0.0,0.1167518003359285,0.7252627343489503,1.0,1.0,0.30459831919558045,1.0,0.026330479247491198,0.04768628644593635,0.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024,4,1,61,1,0.9904675764463896
18,chevy silverado,0.4117647058823479,0.017230285264888824,0.17199361599632068,0.13578478951962897,2024-04-21,0.04020541444607628,0.0,1.0,0.358237485277534,0.0,0.3217563672266224,0.6103133074871138,0.0,1.0,0.3737729294257541,1.0,0.2027316840367856,0.0,0.04362935329607087,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2024,4,6,70,1,0.7894757531147767
19,ford f150,0.0,0.17459069135625938,0.007288601939219221,0.005804018252334433,2023-10-11,0.023668040604661926,0.0,0.0,0.0,0.0,0.0028834145205837917,0.5817043451233258,0.0,0.0,0.09060925464888017,0.0,0.0,0.0,0.01629003014898378,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2023,10,2,263,0,0.7963143413147047
20,ford f150,0.1176470588235361,0.0878315578751698,0.05789957385536502,0.05902668501108263,2023-03-20,0.02501058653186753,0.0,0.0,0.7207338943502364,0.0,0.008862054903804631,0.8241878169376725,1.0,1.0,0.687094585540541,1.0,0.42011553003325347,0.06396610823993139,0.2771438582649649,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2023,3,0,468,0,1.0
21,chevy silverado,0.941176470588232,0.053764209623221565,0.04697019776250178,0.04065226594265226,2023-03-02,0.020497632177032002,0.0,0.0,0.919833612308752,0.0,0.22362573209512238,0.6703305164219983,1.0,1.0,0.6081137733299893,1.0,0.0,0.1108749061006275,0.44689549579729326,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2023,3,3,486,0,0.8654906276572379
22,ford f150,0.0,0.23396725530850077,0.009950973348651977,0.011503800644743016,2023-03-11,0.018311402645584833,0.0,1.0,0.05176068330435829,0.0,0.09421581449332621,0.8709404511625026,0.0,0.0,0.2711736384445488,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2023,3,5,477,0,1.0
23,ford f150,1.0,0.18817473368127546,0.0023401274687347945,0.0017741700435895955,2024-04-22,0.03228740246429657,0.0,0.41206857284362264,0.0,0.0,0.03700310184332748,0.5119280525267703,1.0,0.0,0.608518271959679,1.0,0.3065568381736566,0.03651742505322976,0.2858859976317869,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2024,4,0,69,1,0.7581510269390634
24,ford f150,0.1176470588235361,0.14706513190820047,0.007660496765392031,0.008890662536225948,2023-10-25,0.02138068319721178,0.0,1.0,1.0,0.0,0.003410364086377585,0.5820478770960854,1.0,0.0,0.1569985445450304,1.0,0.09780333716541352,0.12682587463633405,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2023,10,2,249,0,1.0
25,ford f150,0.29411764705882604,0.06927861585758203,0.14137451244138524,0.1587803197883574,2024-02-10,0.38028281170659806,0.0,0.0,0.0,0.0,0.11184076221277854,0.44669061336209437,0.0,0.0,0.1813100208912608,0.0,0.04869913734191954,0.0,0.5404828436017248,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2024,2,5,141,0,1.0
26,chevy silverado,0.6470588235294201,0.04518481447057982,0.04145764159324873,0.03476922333641898,2023-01-03,0.05728866441131511,0.0,0.0,1.0,0.0,0.0027196000246734985,0.962321237995616,0.0,0.0,0.2163955984192403,0.0,0.11083377112452307,0.0,0.24048426560807437,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2023,1,1,544,0,0.8386686265839361
27,ford f150,0.941176470588232,0.05054693644098091,0.04574829391884489,0.032837172330816004,2024-02-24,0.06693835205911905,0.0,0.0,0.1867577071768442,0.0,0.054166174219148606,0.7029545113267751,1.0,1.0,0.3708650892473582,1.0,0.4730041484844169,0.06281539973216445,0.18889229655697884,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2024,2,5,127,0,0.7177791676574311
28,chevy silverado,0.941176470588232,0.20805033245156215,0.14949003962049315,0.10915940424819975,2024-04-11,0.409007118288598,0.0,0.8116754457779645,0.0,0.0,0.01555330222006168,0.5794486415363357,1.0,0.0,0.1168907257213426,1.0,0.02170847042780484,0.1348984948472693,0.0796496372111842,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2024,4,3,80,1,0.7302118892022517
29,chevy silverado,0.470588235294116,0.10574104525630944,0.13451524839457107,0.12587716710910746,2024-01-15,0.005939829270527733,0.0,1.0,0.0,0.0,0.0400381162235332,0.9999999999999999,1.0,1.0,0.31976501223982096,1.0,0.21204673927831957,0.008585493061810421,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2024,1,0,167,0,0.9357836275919761
30,ford f150,0.5882352941176521,0.04868806749124187,0.14505979431269642,0.1426848085619739,2024-04-17,0.03383558085529142,0.0,0.0,1.0,0.0,0.010502169184167316,0.6450876106892206,0.0,0.0,0.3703970091714223,0.0,0.7833297472574718,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2024,4,2,74,1,0.9836275395124103
31,chevy silverado,1.0,0.03631943947951669,0.035379431926027056,0.038321414833143455,2023-11-15,0.02031437585284599,0.0,1.0,0.3094491185626182,0.0,0.13018448621267212,0.6424977155811008,1.0,0.0,0.09517962411805495,1.0,0.2747019161004338,0.05927916677330255,0.1010625732240277,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2023,11,2,228,0,1.0
32,ford f150,0.8823529411764781,0.07431901050975906,0.018323842071189773,0.02168223392431734,2024-01-26,0.006434900065406254,0.0,1.0,0.05651311416629978,0.0,0.004744531291869817,0.6683820514558317,1.0,0.0,0.1812030727105384,1.0,0.22053011123421723,0.013529400414279724,0.0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2024,1,4,156,0,1.0
33,ford f150,0.8823529411764781,0.13601916064917424,0.0860344577610221,0.06783252291630094,2024-01-29,0.06779165417460378,0.0,0.21047881104763522,0.5420662113979511,0.0,0.011747721572411801,0.15438984136721245,0.0,0.0,0.2538968599181113,1.0,0.0,0.0,0.4019766764783216,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2024,1,0,153,0,0.7884343631794523
34,volvo fh,0.941176470588232,0.24998212626009866,0.010195818775362488,0.009584004571596935,2024-02-06,0.0667204374311653,0.0,0.013927869860452913,0.2131852985610631,0.0,0.03460388312927797,0.8921149732766155,1.0,0.0,0.3560191612146457,1.0,0.0,0.06680986553770979,0.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2024,2,1,145,0,0.9399936172616209
35,volvo fh,0.8823529411764781,0.16107814399084866,0.2805271369434505,0.20706638821741388,2024-05-15,0.02257805120338409,0.0,1.0,0.49645309747958194,0.0,0.03071486981088324,0.7054386828766489,0.0,0.0,0.28225000449588944,0.0,0.05546343118792231,0.0,0.31719097027081466,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2024,5,2,46,1,0.7381331819572056
36,tesla semi,0.8235294117647101,0.04493458211196111,0.01593752519130136,0.018167341888960138,2024-06-16,0.0540095995049117,0.0,0.0,0.31838985954816373,0.0,0.021894449807944666,0.6521154933893719,1.0,1.0,0.26446519465550367,1.0,0.2515428639812085,0.05147245064427075,0.2551412027527924,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2024,6,6,14,1,1.0
37,ford f150,0.941176470588232,0.2027954529205691,0.0479744901360341,0.03916808251444439,2024-04-27,0.027173876695788184,0.0,0.5713200004732211,0.0,0.0,0.03362377878034403,0.5196379120473568,0.0,0.0,0.26617124186853186,1.0,0.371301278487787,0.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,2024,4,5,64,1,0.8164356182500596
38,ford f150,1.0,0.01737327518409952,0.015181818988153337,0.012635352919356177,2024-06-01,0.005300513356150123,0.0,0.0,0.6520059638983777,0.17189301480414265,0.9844011449450519,0.7018412937766328,1.0,0.0,0.23849998181023105,1.0,0.058594612400572774,0.06813304836974728,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2024,6,5,29,1,0.8322687109638037
39,chevy silverado,0.8823529411764781,0.1097447629942089,0.1695191656404981,0.1407725353831271,2023-12-05,0.0006592992238319342,0.0,0.0,0.08530656721799523,0.0,0.08183384715721242,0.7505607819493799,0.0,1.0,0.23816130182170356,1.0,0.17743849912842785,0.0,0.0232419918916921,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023,12,1,208,0,0.8304225357129563
40,ford f150,0.529411764705884,0.22588832487309646,0.03767461204108974,0.04082998496356409,2023-08-17,0.023572323880142812,0.0,0.0,0.3383165664901269,0.930092351037926,0.006067209950280392,0.9363300434170999,1.0,0.0,0.23306661288311253,1.0,0.6440728607309787,0.09379429806668471,0.03378187803334076,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2023,8,3,318,0,1.0
41,ford f150,1.0,0.045899764066633306,0.10016415531020138,0.08860589773758282,2023-09-14,0.03460380364644564,0.0,0.0,0.0,0.0,0.036217354111623294,0.33534043596327423,0.0,1.0,0.06655859556081371,1.0,0.5617482022976215,0.0,0.21568034953622142,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2023,9,3,290,0,0.8846068482600042
42,ford f150,0.941176470588232,0.02999213555444341,0.008446528524545678,0.009317361430878695,2023-03-18,0.024734684640093055,0.0,0.412953668063481,0.0,0.0,0.04240420410373961,0.881570119609146,1.0,1.0,0.14751585878898815,1.0,0.0,0.24004632628336922,0.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2023,3,5,470,0,1.0
43,ford f150,0.941176470588232,0.07528419246443126,0.09993565271481548,0.08540778997441283,2023-07-18,0.6978396561538442,0.0,0.8051355565159586,1.0,0.0,0.095133855400702,0.6476996084460359,1.0,0.0,0.2236791309934591,1.0,0.37783789860432376,0.07780829538207816,0.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,2023,7,1,348,0,0.8546278295508756
44,volvo fh,0.8823529411764781,0.005147637091585043,0.5539875760854972,0.5021233417068879,2024-04-12,0.010284019218726334,0.0,0.0,0.2835957055081662,0.0,0.20572861616069013,0.6669630812189952,0.0,1.0,0.24526729052416799,1.0,0.4166095170552095,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2024,4,4,79,1,0.9063801489104061
45,ford f150,0.941176470588232,0.04629298634446272,0.019029491011097473,0.022928661136742374,2024-04-16,0.01595679210579723,0.0,0.6574140966488977,1.0,0.0,0.06431020492676202,0.9008438081804558,0.0,0.0,0.3369501290720643,0.0,0.16241277130167348,0.0,0.1979953355525075,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2024,4,1,75,1,1.0
46,chevy silverado,0.941176470588232,0.0770000714949596,0.07474212974432087,0.06583521437134907,2023-12-11,0.03680451274934699,0.0,1.0,0.0,1.0,0.12911164620130688,0.6836100359487755,0.0,0.0,0.5064908744118457,0.0,0.0,0.0,0.015597624266740995,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2023,12,0,202,0,0.8808313945101547
47,ford f150,0.941176470588232,0.24233216558232645,0.049136974764242725,0.05774881226082663,2023-03-30,0.05791983866835969,0.0,1.0,0.0,1.0,0.020119056914976344,0.6899347699537995,1.0,1.0,0.14213789744455668,1.0,0.7712904505240747,0.04227540021959572,0.07827296430224603,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2023,3,3,458,0,1.0
48,chevy silverado,1.0,0.1713019232144134,0.2965799355294809,0.31484680704608853,2024-02-02,0.6502722743647248,0.0,1.0,0.0,0.0,0.09888050944532739,0.48897925574694956,0.0,0.0,0.2230397418351977,1.0,0.27878356372983115,0.0,0.05960320983473438,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2024,2,4,149,0,1.0
49,chevy silverado,0.764705882352942,0.04418388503610496,0.02314087900195044,0.01982657614352122,2024-02-21,0.05859082891434593,0.0,0.5474130477690526,0.5299668030505587,0.0,0.07166949651955568,0.8713304597971651,1.0,0.0,0.10774791669016569,1.0,0.0,0.05310680115810838,0.0941491085612074,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2024,2,2,130,0,0.8567771406544293
50,ford f150,0.470588235294116,0.07978837491956817,0.10421148867217832,0.10979295435661253,2024-02-10,0.014535228100785919,0.0,0.20897695114707393,0.5653579901312644,0.0,0.028700655100797706,0.5628109297433984,0.0,0.0,0.15499820938572828,0.0,0.11811790444758503,0.0,0.07007579458875271,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2024,2,5,141,0,1.0
51,volvo fh,0.764705882352942,0.6201115321369843,0.05517806499318199,0.05845797392815209,2023-09-29,0.05619593020793623,0.0,1.0,0.0,0.0,0.22643301443507885,0.5047062278560558,1.0,1.0,0.12935738524196638,1.0,0.15804473439464678,0.10392414631840534,0.03584308535051539,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2023,9,4,275,0,1.0
52,chevy silverado,0.941176470588232,0.11210409666118538,0.17759038668960075,0.20048888322170075,2023-08-27,0.04375943763270727,0.0,0.8095971494677037,0.45561178529453644,0.0,0.15291882849815422,0.8115604356901845,1.0,1.0,0.3184128440170927,1.0,0.12005570673812198,0.09192791947397214,0.01822820000270306,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023,8,6,308,0,1.0
53,volvo fh,0.8823529411764781,0.1292271394866662,0.026993192750602957,0.029159890411579847,2023-07-09,0.6469742148999473,0.0,1.0,0.329877842906623,0.0,0.0972278136401074,0.746651479587423,0.0,1.0,0.21089463118144697,1.0,0.2973559621951551,0.0,0.007626429919002559,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2023,7,6,357,0,1.0
54,tesla semi,1.0,0.03253020662043326,0.011535020513409348,0.01229818333550492,2023-10-30,0.004919353670969569,0.0,0.1466802893982344,1.0,0.0,0.010550122559425975,0.6769050242137417,0.0,1.0,0.25265037015189357,1.0,0.3326746941341803,0.0,0.15360508699280082,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2023,10,0,244,0,1.0
55,chevy silverado,0.4117647058823479,0.012082648173303782,0.012600652785684507,0.01371314763687682,2024-04-04,0.01364048076769251,0.0,0.0,0.0,0.0,0.21605219072199472,0.5991443900431698,0.0,0.0,0.1366613372853119,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2024,4,3,87,1,1.0
56,volvo fh,0.941176470588232,0.004575677414742261,0.1889472207908445,0.21488769757803572,2023-02-03,0.056379800033966254,0.0,1.0,0.42638628794061023,0.0,0.10502316767779186,0.8354063778298096,0.0,0.0,0.3562574559073587,1.0,0.0,0.0,0.007007045534825174,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,2023,2,4,513,0,1.0
57,ford f150,0.470588235294116,0.1910345320654894,0.0644507128216587,0.06790906019703417,2023-08-18,0.04086309690000299,0.0,0.8526352612390014,0.0,0.0,0.16267190608449084,0.635138942786699,0.0,0.0,0.19730422685075838,0.0,0.06910775458331096,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2023,8,4,317,0,1.0
58,ford f150,0.941176470588232,0.00046471723743476083,0.021774514684713652,0.0209523767410598,2023-07-24,0.020413437177975856,0.0,0.15613868480655813,0.0,0.0,0.005698398390102127,0.464078816225706,0.0,0.0,0.17399965219301516,0.0,0.49628201577673364,0.0,0.0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2023,7,0,342,0,0.9622431105557077
59,ford f150,0.8235294117647101,0.20379638235504396,0.17330749909522225,0.17959260281012326,2024-05-31,0.695730999197358,0.0,0.7891337833403973,0.5816515800114781,1.0,0.2855383629862931,0.6923330668698787,0.0,1.0,0.27938032805479013,1.0,0.7128941166133484,0.0,0.040158470841767296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024,5,4,30,1,1.0
60,ford f150,1.0,0.190748552227068,0.03703446615308653,0.04216855341525492,2023-03-09,0.00934282572881696,0.0,0.0,0.0,0.0,0.017583108471390593,0.5005219484880609,0.0,0.0,0.10674008969334058,0.0,0.0,0.0,0.40924491670760577,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2023,3,3,479,0,1.0
61,ford f150,0.941176470588232,0.04997497676413813,0.0331876274445247,0.02359196538111401,2023-01-05,0.9493088966724234,0.0,0.7678818518955084,0.6783559618734656,0.9294912291510737,0.09475050036220692,0.33807477545182574,1.0,0.0,0.3884426499222565,1.0,0.02092187310151554,0.24283903160407638,0.08432596794988548,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,2023,1,3,542,0,0.710866283543454
62,ford f150,0.941176470588232,0.024165296346607565,0.15025602711015792,0.10954103075838281,2024-03-24,0.0664703665144895,0.0,0.10887119760856434,0.11610752934794266,1.0,0.006936481511318421,0.6453437747658627,0.0,0.0,0.7307597561475301,0.0,0.02782524232543214,0.0,0.061217512664671375,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2024,3,6,98,0,0.7290291967993701
63,tesla semi,0.05882352941176805,0.01719453778508615,0.4042373592435954,0.3898137772990445,2023-01-07,0.06405532374337622,0.0,0.0,1.0,0.0,0.061019224751849586,0.8477666358357784,0.0,1.0,0.4958483638646324,1.0,1.0,0.0,0.30812534382737977,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2023,1,5,540,0,0.964319027881193
64,ford f150,0.941176470588232,0.02227067991706585,0.0118730745983986,0.009179365642869452,2023-05-29,0.3731043640895258,0.0,0.0,0.0,0.0,0.014476638589752289,0.6262213673135141,1.0,0.0,0.27050274192104423,1.0,0.46819498066898274,0.009020807417594014,0.31529634273301377,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2023,5,0,398,0,0.7731245657386447
65,ford f150,0.764705882352942,0.044398369914921,0.04540162068484361,0.03873859458835562,2023-05-31,0.06154321191444288,0.0,1.0,0.0,0.0,0.03974660955472418,0.5249143235092871,1.0,0.0,0.238510792456388,1.0,0.15302225446626105,0.024094386527475708,0.0018401761681040851,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2023,5,2,396,0,0.853242549583427
66,chevy silverado,0.5882352941176521,0.06098520054336169,0.046341818497670655,0.045548444867772986,2023-05-07,0.014002054390617729,0.0,0.0,0.39287339870528676,0.0,0.17401777176969027,0.6974220308039335,1.0,0.0,0.4983955663822928,1.0,0.5639452760781081,0.01515870550169188,0.16837248099327737,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2023,5,6,420,0,0.9828799633761125
